week_ending,store,sales,hours,sph,holiday,ssp
2026-07-26,Billing Drive Thru,13354,245.0,54.5,,
2026-07-26,Burton Latimer,5099,121.2,42.1,,
2026-07-26,Corby,6301,148.9,42.3,,
2026-07-26,Higham Ferrers,4651,110.2,42.2,,
2026-07-26,Kettering,10633,165.1,64.4,,
2026-07-26,Leamington Parade,9223,164.0,56.2,,
2026-07-26,Lower Heathcote,4642,112.0,41.4,,
2026-07-26,Market Harborough,11284,190.0,59.4,,
2026-07-26,Northampton,10170,183.0,55.6,,
2026-07-26,Northampton Drive-Thru,25428,343.0,74.1,,
2026-07-26,Olney,5238,139.0,37.7,,
2026-07-26,Peterborough Bridge Street,5437,117.5,46.3,,
2026-07-26,Peterborough Fletton Quays,8001,161.2,49.6,,
2026-07-26,Rothwell,7519,123.2,61.0,,
2026-07-26,Rugby,7960,152.0,52.4,,
2026-07-26,Rushden Lakes,23597,305.7,77.2,,
2026-07-26,Wellingborough,7051,131.0,53.8,,
2026-07-26,Wellingborough Train Station,6333,112.0,56.5,,
2026-08-02,Billing Drive Thru,14372,252.0,57.0,,
2026-08-02,Burton Latimer,5399,129.0,41.9,,
2026-08-02,Corby,7609,158.0,48.2,,
2026-08-02,Higham Ferrers,4322,103.0,42.0,,
2026-08-02,Kettering,10291,161.0,63.9,,
2026-08-02,Leamington Parade,9755,167.0,58.4,,
2026-08-02,Lower Heathcote,4667,107.0,43.6,,
2026-08-02,Market Harborough,11673,184.0,63.4,,
2026-08-02,Northampton,10553,171.0,61.7,,
2026-08-02,Northampton Drive-Thru,25149,349.0,72.1,,
2026-08-02,Olney,5328,143.0,37.3,,
2026-08-02,Peterborough Bridge Street,5641,116.0,48.6,,
2026-08-02,Peterborough Fletton Quays,8768,165.0,53.1,,
2026-08-02,Rothwell,6162,119.0,51.8,,
2026-08-02,Rugby,8107,145.0,55.9,,
2026-08-02,Rushden Lakes,25455,316.0,80.6,,
2026-08-02,Wellingborough,7041,131.0,53.7,,
2026-08-02,Wellingborough Train Station,5759,107.0,53.8,,
2026-08-09,Attleborough,6485,156.0,41.6,,
2026-08-09,Billing Drive Thru,13025,248.0,52.5,,
2026-08-09,Burton Latimer,5502,101.0,54.5,,
2026-08-09,Corby,7963,156.0,51.0,,
2026-08-09,Glenvale Drive Thru,17770,288.0,61.7,,
2026-08-09,HOE Balsall Common,6786,144.0,47.1,,
2026-08-09,Higham Ferrers,4365,108.0,40.4,,
2026-08-09,Kettering,10494,168.0,62.5,,
2026-08-09,Leamington Parade,9441,165.0,57.2,,
2026-08-09,Lower Heathcote,4257,109.0,39.1,,
2026-08-09,Market Harborough,11733,182.0,64.5,,
2026-08-09,Northampton,10582,167.0,63.4,,
2026-08-09,Northampton Drive-Thru,24274,349.0,69.6,,
2026-08-09,Olney,5290,141.0,37.5,,
2026-08-09,Peterborough Bridge Street,5909,109.0,54.2,,
2026-08-09,Peterborough Fletton Quays,8693,190.8,45.6,,
2026-08-09,Rothwell,6629,138.8,47.8,,
2026-08-09,Rugby,8083,154.0,52.5,,
2026-08-09,Rushden Lakes,23517,327.0,71.9,,
2026-08-09,Wellingborough,7307,126.0,58.0,,
2026-08-09,Wellingborough Train Station,5892,105.0,56.1,,
2026-08-16,Attleborough,6225,158.0,39.4,,
2026-08-16,Billing Drive Thru,13927,264.0,52.8,,
2026-08-16,Burton Latimer,5082,117.0,43.4,,
2026-08-16,Corby,8472,159.0,53.3,,
2026-08-16,Glenvale Drive Thru,19161,290.0,66.1,,
2026-08-16,HOE Balsall Common,6691,150.0,44.6,,
2026-08-16,Higham Ferrers,4377,103.0,42.5,,
2026-08-16,Kettering,10410,164.0,63.5,,
2026-08-16,Leamington Parade,8703,160.0,54.4,,
2026-08-16,Lower Heathcote,4762,110.0,43.3,,
2026-08-16,Market Harborough,11490,180.0,63.8,,
2026-08-16,Northampton,10405,168.0,61.9,,
2026-08-16,Northampton Drive-Thru,25995,372.0,69.9,,
2026-08-16,Olney,5662,125.0,45.3,,
2026-08-16,Peterborough Bridge Street,5688,117.0,48.6,,
2026-08-16,Peterborough Fletton Quays,8137,165.0,49.3,,
2026-08-16,Rothwell,5738,115.0,49.9,,
2026-08-16,Rugby,7660,150.0,51.1,,
2026-08-16,Rushden Lakes,23058,339.0,68.0,,
2026-08-16,Wellingborough,7060,133.0,53.1,,
2026-08-16,Wellingborough Train Station,5384,102.0,52.8,,
2026-08-23,Attleborough,6622,228.0,29.0,40.0,0
2026-08-23,Billing Drive Thru,12674,288.0,44.0,48.0,0
2026-08-23,Burton Latimer,5832,119.0,49.0,0,0
2026-08-23,Corby,7565,157.0,48.2,0,0
2026-08-23,Glenvale Drive Thru,16922,374.0,45.2,42.0,0
2026-08-23,HOE Balsall Common,6613,135.0,49.0,0,0
2026-08-23,Higham Ferrers,4174,136.0,30.7,24.0,0
2026-08-23,Kettering,9834,191.0,51.5,30.0,0
2026-08-23,Leamington Parade,10141,216.0,46.9,48.0,0
2026-08-23,Lower Heathcote,3951,132.0,29.9,30.0,0
2026-08-23,Market Harborough,11923,239.0,49.9,45.0,0
2026-08-23,Northampton,10154,242.0,42.0,72.0,0
2026-08-23,Northampton Drive-Thru,24836,394.0,63.0,30.0,0
2026-08-23,Olney,5462,119.0,45.9,0,0
2026-08-23,Peterborough Bridge Street,5412,163.0,33.2,46.0,0
2026-08-23,Peterborough Fletton Quays,8342,179.0,46.6,18.0,0
2026-08-23,Rothwell,6746,126.0,53.5,12.0,0
2026-08-23,Rugby,7960,174.0,45.7,18.0,0
2026-08-23,Rushden Lakes,24379,418.0,58.3,74.0,0
2026-08-23,Wellingborough,6608,161.0,41.0,30.0,0
2026-08-23,Wellingborough Train Station,6620,113.0,58.6,0,0
2026-08-30,Attleborough,5276,190.0,27.8,27.0,0
2026-08-30,Billing Drive Thru,13593,245.0,55.5,0,0
2026-08-30,Burton Latimer,5271,117.1,45.0,0,0
2026-08-30,Corby,7625,160.4,47.5,0,0
2026-08-30,Glenvale Drive Thru,16784,370.0,45.4,50.0,32.0
2026-08-30,HOE Balsall Common,5926,166.0,35.7,18.0,0
2026-08-30,Higham Ferrers,4283,152.5,28.1,9.0,16.0
2026-08-30,Kettering,10130,175.0,57.9,12.0,0
2026-08-30,Leamington Parade,9775,166.0,58.9,0,0
2026-08-30,Lower Heathcote,4171,127.0,32.8,24.0,0
2026-08-30,Market Harborough,11059,201.0,55.0,18.0,0
2026-08-30,Northampton,11053,174.0,63.5,9.0,0
2026-08-30,Northampton Drive-Thru,22563,385.0,58.6,30.0,0
2026-08-30,Olney,5221,115.8,45.1,0,0
2026-08-30,Peterborough Bridge Street,5599,159.5,35.1,45.0,0
2026-08-30,Peterborough Fletton Quays,7091,203.6,34.8,24.0,0
2026-08-30,Rothwell,6133,144.8,42.4,0,24.0
2026-08-30,Rugby,8309,200.0,41.5,48.0,0
2026-08-30,Rushden Lakes,23281,390.4,59.6,24.0,8.0
2026-08-30,Warwick,5028,233.0,21.6,30.0,0
2026-08-30,Wellingborough,6506,192.0,33.9,63.0,0
2026-08-30,Wellingborough Train Station,5992,110.0,54.5,0,0
2026-09-06,Attleborough,6404,203.0,31.5,40.0,0
2026-09-06,Billing Drive Thru,12141,245.0,49.6,0,0
2026-09-06,Burton Latimer,5379,117.1,45.9,0,0
2026-09-06,Corby,7509,160.4,46.8,0,0
2026-09-06,Glenvale Drive Thru,18205,324.0,56.2,40.0,0
2026-09-06,HOE Balsall Common,7099,200.0,35.5,36.0,0
